cu_num,libtype,B,M,N,K,kernelId,splitK,us,kernelName,tflops
256,ck,8,96,1024,4096,8,1,111.439,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,57.81145688672727
256,ck,8,128,1024,4096,8,1,111.539,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,77.01283490079703
256,ck,8,256,1024,4096,8,1,113.128,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,151.8622196450039
256,ck,8,512,1024,4096,5,1,134.048,a8w8_batched_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,256.3241403676295
256,ck,8,1024,1024,4096,3,1,138.579,a8w8_batched_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,495.88665480339733
256,ck,8,2048,1024,4096,2,1,166.467,a8w8_batched_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,825.6228169667261
256,ck,8,4096,1024,4096,0,1,245.797,a8w8_batched_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1118.3127009035913
256,ck,16,16,1024,4096,8,1,204.657,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.493086715822084
256,ck,16,32,1024,4096,8,1,207.787,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.670048155081886
256,ck,16,48,1024,4096,8,1,209.747,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,30.71534250311089
256,ck,16,64,1024,4096,8,1,209.108,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,41.07893811810165
256,ck,16,96,1024,4096,8,1,209.437,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,61.521612169769426
256,ck,16,128,1024,4096,8,1,209.127,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,82.15041187412433
256,ck,16,256,1024,4096,8,1,210.657,a8w8_batched_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,163.10750826224623
256,ck,16,512,1024,4096,5,1,253.437,a8w8_batched_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,271.1501348895386
256,ck,16,1024,1024,4096,3,1,264.037,a8w8_batched_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,520.5291435367013
256,ck,16,2048,1024,4096,2,1,355.905,a8w8_batched_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,772.335052735983
256,ck,16,4096,1024,4096,0,1,532.823,a8w8_batched_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1031.7794349868532
