B,M,N,K
8,1,8192,4096
8,4,8192,4096
8,16,8192,4096
8,64,8192,4096
8,256,8192,4096
8,1024,8192,4096
8,4096,8192,4096
8,8192,8192,4096
16,1,8192,4096
16,4,8192,4096
16,16,8192,4096
16,64,8192,4096
